Endpoint ID,Model Name,Input Price,Output Price,Context Length
cohere/north-mini-code:free,Cohere: North Mini Code (free),Free,Free,256000
nex-agi/nex-n2-pro:free,Nex AGI: Nex-N2-Pro (free),Free,Free,262144
nvidia/nemotron-3.5-content-safety:free,NVIDIA: Nemotron 3.5 Content Safety (free),Free,Free,128000
nvidia/nemotron-3-ultra-550b-a55b:free,NVIDIA: Nemotron 3 Ultra (free),Free,Free,1000000
openrouter/owl-alpha,Owl Alpha,Free,Free,1048756
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free),Free,Free,256000
poolside/laguna-xs.2:free,Poolside: Laguna XS.2 (free),Free,Free,262144
poolside/laguna-m.1:free,Poolside: Laguna M.1 (free),Free,Free,262144
google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free),Free,Free,262144
google/gemma-4-31b-it:free,Google: Gemma 4 31B (free),Free,Free,262144
google/lyria-3-pro-preview,Google: Lyria 3 Pro Preview,Free,Free,1048576
google/lyria-3-clip-preview,Google: Lyria 3 Clip Preview,Free,Free,1048576
nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free),Free,Free,1000000
openrouter/free,Free Models Router,Free,Free,200000
liquid/lfm-2.5-1.2b-thinking:free,LiquidAI: LFM2.5-1.2B-Thinking (free),Free,Free,32768
liquid/lfm-2.5-1.2b-instruct:free,LiquidAI: LFM2.5-1.2B-Instruct (free),Free,Free,32768
nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),Free,Free,256000
nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),Free,Free,128000
qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),Free,Free,262144
nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),Free,Free,128000
openai/gpt-oss-120b:free,OpenAI: gpt-oss-120b (free),Free,Free,131072
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),Free,Free,131072
qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),Free,Free,1048576
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),Free,Free,32768
meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),Free,Free,131072
meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),Free,Free,131072
nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),Free,Free,131072
